observation_date,A124RC1A027NBEA
1929-01-01,0.772
1930-01-01,0.690
1931-01-01,0.197
1932-01-01,0.169
1933-01-01,0.150
1934-01-01,0.430
1935-01-01,-0.053
1936-01-01,-0.092
1937-01-01,0.214
1938-01-01,1.165
1939-01-01,1.030
1940-01-01,1.543
1941-01-01,1.286
1942-01-01,-0.053
1943-01-01,-2.109
1944-01-01,-1.967
1945-01-01,-1.323
1946-01-01,4.917
1947-01-01,9.289
1948-01-01,2.417
1949-01-01,0.879
1950-01-01,-1.843
1951-01-01,0.877
1952-01-01,0.590
1953-01-01,-1.321
1954-01-01,0.170
1955-01-01,0.372
1956-01-01,2.682
1957-01-01,4.717
1958-01-01,0.802
1959-01-01,-1.272
1960-01-01,3.171
1961-01-01,4.213
1962-01-01,3.803
1963-01-01,4.946
1964-01-01,7.467
1965-01-01,6.159
1966-01-01,3.810
1967-01-01,3.484
1968-01-01,1.533
1969-01-01,1.604
1970-01-01,3.723
1971-01-01,0.311
1972-01-01,-4.035
1973-01-01,8.860
1974-01-01,5.956
1975-01-01,19.828
1976-01-01,7.093
1977-01-01,-10.914
1978-01-01,-12.627
1979-01-01,-1.167
1980-01-01,8.509
1981-01-01,3.375
1982-01-01,-3.299
1983-01-01,-35.053
1984-01-01,-90.078
1985-01-01,-114.304
1986-01-01,-142.674
1987-01-01,-154.094
1988-01-01,-115.723
1989-01-01,-92.350
1990-01-01,-74.895
1991-01-01,7.886
1992-01-01,-45.573
1993-01-01,-79.369
1994-01-01,-115.599
1995-01-01,-105.862
1996-01-01,-115.024
1997-01-01,-130.095
1998-01-01,-205.336
1999-01-01,-276.625
2000-01-01,-396.869
2001-01-01,-391.415
2002-01-01,-455.441
2003-01-01,-527.635
2004-01-01,-637.767
2005-01-01,-751.177
2006-01-01,-819.306
2007-01-01,-740.860
2008-01-01,-704.233
2009-01-01,-383.107
2010-01-01,-439.786
2011-01-01,-460.336
2012-01-01,-424.003
2013-01-01,-351.187
2014-01-01,-375.099
2015-01-01,-423.075
2016-01-01,-401.353
2017-01-01,-377.995
2018-01-01,-441.158
2019-01-01,-447.261
2020-01-01,-564.620
2021-01-01,-869.245
2022-01-01,-1001.196
2023-01-01,-937.838
2024-01-01,-1179.852
